url,download,name
https://www.kaggle.com/datasets/konradb/foreign-exchange-rates-daily-updates,kaggle datasets download konradb/foreign-exchange-rates-daily-updates --unzip --force --path ./datasets/konradb/foreign-exchange-rates-daily-updates,konradb/foreign-exchange-rates-daily-updates
https://www.kaggle.com/datasets/bunnyjr/bitcoin-historical-data-jan-2018-jan-2022-per-min,kaggle datasets download bunnyjr/bitcoin-historical-data-jan-2018-jan-2022-per-min --unzip --force --path ./datasets/bunnyjr/bitcoin-historical-data-jan-2018-jan-2022-per-min,bunnyjr/bitcoin-historical-data-jan-2018-jan-2022-per-min
https://www.kaggle.com/datasets/ksamiksha19/vegetable-prices,kaggle datasets download ksamiksha19/vegetable-prices --unzip --force --path ./datasets/ksamiksha19/vegetable-prices,ksamiksha19/vegetable-prices
https://www.kaggle.com/datasets/shubham2703/bitcoin-time-series-datajan-2018-jan-2022,kaggle datasets download shubham2703/bitcoin-time-series-datajan-2018-jan-2022 --unzip --force --path ./datasets/shubham2703/bitcoin-time-series-datajan-2018-jan-2022,shubham2703/bitcoin-time-series-datajan-2018-jan-2022
https://www.kaggle.com/datasets/jillanisofttech/google-10-years-stockprice-dataset,kaggle datasets download jillanisofttech/google-10-years-stockprice-dataset --unzip --force --path ./datasets/jillanisofttech/google-10-years-stockprice-dataset,jillanisofttech/google-10-years-stockprice-dataset
https://www.kaggle.com/datasets/agungpambudi/trends-product-coffee-shop-sales-revenue-dataset,kaggle datasets download agungpambudi/trends-product-coffee-shop-sales-revenue-dataset --unzip --force --path ./datasets/agungpambudi/trends-product-coffee-shop-sales-revenue-dataset,agungpambudi/trends-product-coffee-shop-sales-revenue-dataset
https://www.kaggle.com/datasets/iamsouravbanerjee/data-science-salaries-2023,kaggle datasets download iamsouravbanerjee/data-science-salaries-2023 --unzip --force --path ./datasets/iamsouravbanerjee/data-science-salaries-2023,iamsouravbanerjee/data-science-salaries-2023
https://www.kaggle.com/datasets/adilashrafi/dolla-price,kaggle datasets download adilashrafi/dolla-price --unzip --force --path ./datasets/adilashrafi/dolla-price,adilashrafi/dolla-price
https://www.kaggle.com/datasets/liamhealy/uk-write-off-timeseries-data,kaggle datasets download liamhealy/uk-write-off-timeseries-data --unzip --force --path ./datasets/liamhealy/uk-write-off-timeseries-data,liamhealy/uk-write-off-timeseries-data
https://www.kaggle.com/datasets/olegshpagin/extra-us-stocks-market-data,kaggle datasets download olegshpagin/extra-us-stocks-market-data --unzip --force --path ./datasets/olegshpagin/extra-us-stocks-market-data,olegshpagin/extra-us-stocks-market-data
https://www.kaggle.com/datasets/samriddhi1311/inr-foreign-exchange-rate-2006-2023,kaggle datasets download samriddhi1311/inr-foreign-exchange-rate-2006-2023 --unzip --force --path ./datasets/samriddhi1311/inr-foreign-exchange-rate-2006-2023,samriddhi1311/inr-foreign-exchange-rate-2006-2023
https://www.kaggle.com/datasets/spoorthiuk/crypto-market-data-2023,kaggle datasets download spoorthiuk/crypto-market-data-2023 --unzip --force --path ./datasets/spoorthiuk/crypto-market-data-2023,spoorthiuk/crypto-market-data-2023
https://www.kaggle.com/datasets/liamhealy/uk-mortgage-rates,kaggle datasets download liamhealy/uk-mortgage-rates --unzip --force --path ./datasets/liamhealy/uk-mortgage-rates,liamhealy/uk-mortgage-rates
